LC_Code,SHDFAC,NROOT,RS,RGL,HS,SNUP,MAXALB,LAIMIN,LAIMAX,EMISSMIN,EMISSMAX,ALBEDOMIN,ALBEDOMAX,Z0MIN,Z0MAX,ZTOPV,ZBOTV,LandCover
1,0.1,1,200,999,999,0.04,46,1,1,0.88,0.88,0.15,0.15,0.5,0.5,0,0,Urban and Built-Up Land
2,0.8,3,40,100,36.25,0.04,66,1.56,5.68,0.92,0.985,0.17,0.23,0.05,0.15,0.5,0.01,Dryland Cropland and Pasture
3,0.8,3,40,100,36.25,0.04,66,1.56,5.68,0.93,0.985,0.2,0.25,0.02,0.1,0.5,0.01,Irrigated Cropland and Pasture
4,0.8,3,40,100,36.25,0.04,66,1,4.5,0.92,0.985,0.18,0.23,0.05,0.15,0.5,0.01,Mixed Dryland/Irrigated Cropland and Pasture
5,0.8,3,40,100,36.25,0.04,68,2.29,4.29,0.92,0.98,0.18,0.23,0.05,0.14,0.5,0.01,Cropland/Grassland Mosaic
6,0.8,3,70,65,44.14,0.04,60,2,4,0.93,0.985,0.16,0.2,0.2,0.2,0.5,0.01,Cropland/Woodland Mosaic
7,0.8,3,40,100,36.35,0.04,70,0.52,2.9,0.92,0.96,0.19,0.23,0.1,0.12,0.5,0.01,Grassland
8,0.7,3,300,100,42,0.03,60,0.5,3.66,0.93,0.93,0.25,0.3,0.01,0.05,0.5,0.1,Shrubland
9,0.7,3,170,100,39.18,0.035,65,0.6,2.6,0.93,0.95,0.22,0.3,0.01,0.06,0.5,0.1,Mixed Shrubland/Grassland
10,0.5,3,70,65,54.53,0.04,50,0.5,3.66,0.92,0.92,0.2,0.2,0.15,0.15,5,0.1,Savanna
11,0.8,4,100,30,54.53,0.08,58,1.85,3.31,0.93,0.93,0.16,0.17,0.5,0.5,20,11.5,Deciduous Broadleaf Forest
12,0.7,4,150,30,47.35,0.08,54,1,5.16,0.93,0.94,0.14,0.15,0.5,0.5,14,7,Deciduous Needleleaf Forest
13,0.95,4,150,30,41.69,0.08,35,3.08,6.48,0.95,0.95,0.12,0.12,0.5,0.5,35,1,Evergreen Broadleaf Forest
14,0.7,4,125,30,47.35,0.08,52,5,6.4,0.95,0.95,0.12,0.12,0.5,0.5,17,8.5,Evergreen Needleleaf Forest
15,0.8,4,125,30,51.93,0.08,53,2.8,5.5,0.93,0.97,0.17,0.25,0.2,0.5,18,10,Mixed Forest
16,0,0,100,30,51.75,0.01,70,0.01,0.01,0.98,0.98,0.08,0.08,0.0001,0.0001,0,0,Water Bodies
17,0.6,2,40,100,60,0.01,68,1.5,5.65,0.95,0.95,0.14,0.14,0.2,0.2,0.5,0.01,Herbaceous Wetland
18,0.6,2,100,30,51.93,0.02,50,2,5.8,0.95,0.95,0.14,0.14,0.4,0.4,20,11.5,Wooded Wetland
19,0.01,1,999,999,999,0.02,75,0.1,0.75,0.9,0.9,0.38,0.38,0.01,0.01,0.02,0.01,Barren or Sparsely Vegetated
20,0.6,3,150,100,42,0.025,68,0.41,3.35,0.92,0.92,0.15,0.2,0.1,0.1,0.5,0.01,Herbaceous Tundra
21,0.6,3,150,100,42,0.025,55,0.41,3.35,0.93,0.93,0.15,0.2,0.3,0.3,10,0.1,Wooded Tundra
22,0.6,3,150,100,42,0.025,60,0.41,3.35,0.92,0.92,0.15,0.2,0.15,0.15,5,0.1,Mixed Tundra
23,0.3,2,200,100,42,0.02,75,0.41,3.35,0.9,0.9,0.25,0.25,0.05,0.1,0.02,0.01,Bare Ground Tundra
24,0,1,999,999,999,0.02,82,0.01,0.01,0.95,0.95,0.55,0.7,0.001,0.001,0,0,Snow or Ice
25,0.5,1,40,100,36.25,0.02,75,0.01,0.01,0.89,0.89,0.3,0.3,0.01,0.01,0,0,Playa
26,0,0,999,999,999,0.02,75,0.01,0.01,0.88,0.88,0.16,0.16,0.15,0.15,0,0,Lava 
27,0,0,999,999,999,0.02,75,0.01,0.01,0.83,0.83,0.6,0.6,0.01,0.01,0,0,White Sand
